FID,MN,YR,NODEID,Lon,Lat,Fatalities_COUNT,PedFatalit_COUNT,BikeFatali_COUNT,MVOFatalit_COUNT,Fatalities,PedFatalit,BikeFatali,MVOFatalit
0,1,2016,49219,-73.87098435,40.85439682,1,1,0,0,1,1,0,0
1,1,2016,27203,-73.91092601,40.67634445,1,1,0,0,1,1,0,0
2,1,2016,44093,-73.91508774,40.83922538,1,1,0,0,1,1,0,0
3,1,2016,23418,-73.97036786,40.79405174,1,1,0,0,1,1,0,0
4,1,2016,12731,-74.00154542,40.60144199,1,1,0,0,1,1,0,0
5,1,2016,23636,-73.95093257,40.77070866,1,1,0,0,1,1,0,0
6,1,2016,5215,-74.12714362,40.56757801,1,0,0,1,1,0,0,1
7,1,2016,43732,-73.9308843,40.84811894,1,1,0,0,1,1,0,0
8,1,2016,2475,-74.1681312,40.52664179,1,0,0,1,1,0,0,1
9,1,2016,54303,-73.85588387,40.88386172,1,0,0,1,1,0,0,1
10,1,2016,16715,-73.96210267,40.59820611,1,0,1,0,1,0,1,0
11,1,2016,53646,-73.85527808,40.85380789,1,0,1,0,1,0,1,0
12,1,2016,51702,-73.84580796,40.78419131,1,1,0,0,1,1,0,0
13,1,2016,20760,-73.98739393,40.71830352,1,1,0,0,1,1,0,0
14,2,2016,39324,-73.73561185,40.66528062,1,1,0,0,1,1,0,0
15,2,2016,43658,-73.92874743,40.83271667,1,0,0,1,1,0,0,1
16,2,2016,20084,-74.00823293,40.72196589,1,0,0,1,1,0,0,1
17,2,2016,47861,-73.90268809999999,40.84458147,1,1,0,0,1,1,0,0
18,2,2016,58296,-73.82848243,40.8879343,1,0,0,1,1,0,0,1
19,2,2016,13443,-73.99771359,40.62368027,1,1,0,0,1,1,0,0
20,2,2016,21508,-73.98202464,40.74904954,1,1,0,0,1,1,0,0
21,2,2016,26822,-73.93308084,40.67756328,1,1,0,0,1,1,0,0
22,2,2016,43356,-73.94113609,40.83917889,1,1,0,0,1,1,0,0
23,2,2016,21212,-74.00058422,40.75769288,1,1,0,0,1,1,0,0
24,2,2016,49138,-73.87922942,40.87367185,1,0,0,1,1,0,0,1
25,2,2016,52751,-73.85585892,40.83589739,1,1,0,0,1,1,0,0
26,2,2016,5043,-74.13704258,40.57290845,1,0,1,0,1,0,1,0
27,2,2016,33760,-73.82897169,40.68032655,1,1,0,0,1,1,0,0
28,2,2016,26515,-73.91530758,40.65422218,1,1,0,0,1,1,0,0
29,2,2016,14995,-73.98630429,40.66917267,1,1,0,0,1,1,0,0
30,2,2016,30291,-73.88681137,40.69666795,1,0,0,1,1,0,0,1
31,2,2016,56610,-73.80862805,40.78372264,1,1,0,0,1,1,0,0
32,3,2016,30178,-73.89363337,40.70228614,1,1,0,0,1,1,0,0
33,3,2016,51022,-73.85478631,40.75470745,1,1,0,0,1,1,0,0
34,3,2016,19801,-73.95111566,40.71095662,1,1,0,0,1,1,0,0
35,3,2016,53298,-73.8377541,40.84288591,1,0,0,1,1,0,0,1
36,3,2016,24259,-73.94535906,40.79928686,1,1,0,0,1,1,0,0
37,3,2016,43875,-73.92399049,40.8350523,1,1,0,0,1,1,0,0
38,3,2016,23610,-73.9546561,40.78655237,1,1,0,0,1,1,0,0
39,3,2016,53456,-73.86351971,40.86550798,1,0,0,1,1,0,0,1
40,3,2016,12988,-73.98656942,40.59852397,1,1,0,0,1,1,0,0
41,3,2016,23785,-73.94659059,40.78069197,1,1,0,0,1,1,0,0
42,4,2016,60223,-73.79084907,40.78906186,1,0,0,1,1,0,0,1
43,4,2016,55442,-73.83334977,40.76408379,1,1,0,0,1,1,0,0
44,4,2016,4385,-74.14710312,40.5410124,1,1,0,0,1,1,0,0
45,4,2016,27217,-73.91388312,40.67993564,1,1,0,0,1,1,0,0
46,4,2016,18870,-73.95956770000001,40.68668256,1,0,1,0,1,0,1,0
47,4,2016,32266,-73.86236834,40.69595014,1,1,0,0,1,1,0,0
48,4,2016,41621,-73.92847137,40.76906017,1,1,0,0,1,1,0,0
49,4,2016,49124,-73.87954517,40.86771205,1,0,1,0,1,0,1,0
50,4,2016,49295,-73.87159658,40.87864614,1,0,0,1,1,0,0,1
51,4,2016,30552,-73.87380342,40.70760375,1,0,0,1,1,0,0,1
52,4,2016,13858,-74.00928151,40.64265634,1,1,0,0,1,1,0,0
53,4,2016,18559,-73.97618051,40.67806432,1,0,1,0,1,0,1,0
54,5,2016,66755,-74.12172624,40.57490698,1,1,0,0,1,1,0,0
55,5,2016,16538,-73.96759868,40.58037847,1,0,0,1,1,0,0,1
56,5,2016,17465,-73.96137268,40.61009887,1,0,1,0,1,0,1,0
57,5,2016,57640,-73.82036474,40.84413351,1,0,0,1,1,0,0,1
58,5,2016,323,-74.23489564,40.50618808,1,0,0,1,1,0,0,1
59,5,2016,42496,-73.93692775,40.80504641,1,1,0,0,1,1,0,0
60,5,2016,28752,-73.89939429,40.63882374,1,1,0,0,1,1,0,0
61,5,2016,30162,-73.89423422,40.70082738,1,1,0,0,1,1,0,0
62,5,2016,21549,-73.98003576,40.76552103,1,1,0,0,1,1,0,0
63,5,2016,28703,-73.90143323,40.64570373,2,0,0,2,1,0,0,1
64,5,2016,38031,-73.75527385,40.60533444,1,1,0,0,1,1,0,0
