FID,MN,YR,NODEID,Lon,Lat,Injuries_COUNT,PedInjurie_COUNT,BikeInjuri_COUNT,MVOInjurie_COUNT,Injuries,PedInjurie,BikeInjuri,MVOInjurie
142300,2,2016,27,-74.25287758,40.50762556,1,0,0,1,1,0,0,1
84555,5,2016,75,-74.25206865,40.51136082,1,0,0,1,1,0,0,1
143201,2,2016,129,-74.24690265,40.50904526,1,1,0,0,1,1,0,0
197280,10,2016,133,-74.24827763,40.5105171,1,0,1,0,1,0,1,0
217734,1,2016,148,-74.24628613,40.51436133,1,0,0,1,1,0,0,1
61616,6,2016,150,-74.24574681,40.5147111,1,0,0,1,1,0,0,1
196609,10,2016,185,-74.24315595,40.50835171,1,0,1,0,1,0,1,0
62912,6,2016,193,-74.24374143,40.5099916,2,0,0,2,1,0,0,1
123022,3,2016,199,-74.24377502,40.51267371,1,0,0,1,1,0,0,1
141513,2,2016,199,-74.24377502,40.51267371,1,1,0,0,1,1,0,0
197536,10,2016,238,-74.24073319,40.50501272,1,0,0,1,1,0,0,1
158498,12,2016,260,-74.24025138,40.51165993,1,1,0,0,1,1,0,0
123995,3,2016,316,-74.23817667,40.50552693,1,1,0,0,1,1,0,0
83372,5,2016,323,-74.23489564,40.50618808,1,0,0,1,1,0,0,1
61910,6,2016,353,-74.23736019,40.51351411,1,0,0,1,1,0,0,1
84980,5,2016,359,-74.23813883,40.51539895,1,1,0,0,1,1,0,0
21296,8,2016,410,-74.23457059,40.51505233,1,0,1,0,1,0,1,0
105363,4,2016,417,-74.23282215,40.51633656,1,0,0,1,1,0,0,1
158461,12,2016,417,-74.23282215,40.51633656,1,1,0,0,1,1,0,0
218367,1,2016,417,-74.23282215,40.51633656,1,0,0,1,1,0,0,1
143132,2,2016,445,-74.2392679,40.52502818,1,0,0,1,1,0,0,1
178305,11,2016,445,-74.2392679,40.52502818,1,0,0,1,1,0,0,1
197836,10,2016,445,-74.2392679,40.52502818,1,0,0,1,1,0,0,1
142934,2,2016,447,-74.23926563,40.52538633,1,0,0,1,1,0,0,1
141438,2,2016,449,-74.23937177,40.52822361,1,0,0,1,1,0,0,1
22335,8,2016,453,-74.23896885,40.53275096,1,0,0,1,1,0,0,1
84498,5,2016,465,-74.2347802,40.52794776,2,0,0,2,1,0,0,1
158139,12,2016,477,-74.23590229,40.53480017,2,0,0,2,1,0,0,1
21443,8,2016,483,-74.23748031,40.5392201,1,0,0,1,1,0,0,1
874,9,2016,494,-74.23343551,40.52473879,1,0,0,1,1,0,0,1
177409,11,2016,494,-74.23343551,40.52473879,1,0,0,1,1,0,0,1
105324,4,2016,538,-74.23006417,40.50775268,1,0,0,1,1,0,0,1
237,9,2016,711,-74.21043538,40.511736,1,0,0,1,1,0,0,1
20662,8,2016,711,-74.21043538,40.511736,1,0,0,1,1,0,0,1
61720,6,2016,711,-74.21043538,40.511736,1,0,0,1,1,0,0,1
123141,3,2016,711,-74.21043538,40.511736,2,0,0,2,1,0,0,1
83513,5,2016,720,-74.21275232,40.51840809,1,0,0,1,1,0,0,1
63138,6,2016,820,-74.19925955,40.52280074,2,0,0,2,1,0,0,1
1955,9,2016,851,-74.19713591,40.51912603,1,1,0,0,1,1,0,0
22380,8,2016,851,-74.19713591,40.51912603,1,0,0,1,1,0,0,1
159006,12,2016,851,-74.19713591,40.51912603,1,0,0,1,1,0,0,1
178434,11,2016,851,-74.19713591,40.51912603,2,0,0,2,1,0,0,1
218910,1,2016,851,-74.19713591,40.51912603,1,1,0,0,1,1,0,0
177070,11,2016,866,-74.22954185,40.52455913,1,1,0,0,1,1,0,0
1314,9,2016,906,-74.2248855,40.5324051,2,0,0,2,1,0,0,1
62804,6,2016,906,-74.2248855,40.5324051,4,0,0,4,1,0,0,1
158449,12,2016,906,-74.2248855,40.5324051,1,0,0,1,1,0,0,1
158471,12,2016,910,-74.225016,40.53691619,1,0,0,1,1,0,0,1
177865,11,2016,910,-74.225016,40.53691619,1,0,0,1,1,0,0,1
20654,8,2016,967,-74.22378792,40.537195,1,0,0,1,1,0,0,1
296,9,2016,990,-74.2235783,40.54018453,1,0,0,1,1,0,0,1
104225,4,2016,990,-74.2235783,40.54018453,1,0,0,1,1,0,0,1
217494,1,2016,1011,-74.22131563,40.55025307,1,0,0,1,1,0,0,1
141574,2,2016,1039,-74.21684517,40.52864209,1,0,0,1,1,0,0,1
157400,12,2016,1039,-74.21684517,40.52864209,1,0,0,1,1,0,0,1
20783,8,2016,1146,-74.21648647,40.52792563,1,0,0,1,1,0,0,1
41025,7,2016,1146,-74.21648647,40.52792563,3,0,0,3,1,0,0,1
1427,9,2016,1231,-74.21099717,40.52945465,1,0,0,1,1,0,0,1
21889,8,2016,1231,-74.21099717,40.52945465,1,0,0,1,1,0,0,1
42087,7,2016,1231,-74.21099717,40.52945465,1,0,0,1,1,0,0,1
62906,6,2016,1231,-74.21099717,40.52945465,3,0,0,3,1,0,0,1
84332,5,2016,1231,-74.21099717,40.52945465,1,0,0,1,1,0,0,1
105468,4,2016,1231,-74.21099717,40.52945465,1,0,0,1,1,0,0,1
22558,8,2016,1233,-74.21108822,40.53026071,1,0,0,1,1,0,0,1
106248,4,2016,1233,-74.21108822,40.53026071,1,0,0,1,1,0,0,1
21330,8,2016,1265,-74.21273286,40.54609467,1,0,0,1,1,0,0,1
158422,12,2016,1267,-74.21176262,40.5462093,1,1,0,0,1,1,0,0
22275,8,2016,1273,-74.2098853,40.54643021,1,0,0,1,1,0,0,1
42254,7,2016,1281,-74.21142571,40.55037459,1,0,0,1,1,0,0,1
84291,5,2016,1337,-74.20699018,40.54174668,1,1,0,0,1,1,0,0
142734,2,2016,1337,-74.20699018,40.54174668,1,1,0,0,1,1,0,0
157515,12,2016,1341,-74.20905003,40.54429171,1,0,0,1,1,0,0,1
178271,11,2016,1343,-74.20877193,40.54366494,2,0,0,2,1,0,0,1
41912,7,2016,1358,-74.20525953,40.52557618,2,1,0,1,1,1,0,1
63528,6,2016,1359,-74.20384569,40.52375453,1,0,0,1,1,0,0,1
104744,4,2016,1385,-74.20309312,40.53248361,1,0,0,1,1,0,0,1
217835,1,2016,1385,-74.20309312,40.53248361,1,0,0,1,1,0,0,1
123959,3,2016,1387,-74.20289033,40.53171156,1,0,0,1,1,0,0,1
196977,10,2016,1418,-74.20096456,40.52541277,1,0,0,1,1,0,0,1
197353,10,2016,1449,-74.20100304,40.53381836,1,0,0,1,1,0,0,1
198230,10,2016,1466,-74.20218276,40.54238233,2,0,0,2,1,0,0,1
217213,1,2016,1531,-74.19647281,40.5358367,1,0,0,1,1,0,0,1
20653,8,2016,1538,-74.19542519,40.53917847,1,0,0,1,1,0,0,1
142774,2,2016,1551,-74.19730759,40.54326205,1,0,0,1,1,0,0,1
1975,9,2016,1597,-74.21777233,40.55324489,1,0,0,1,1,0,0,1
198001,10,2016,1597,-74.21777233,40.55324489,1,0,0,1,1,0,0,1
104543,4,2016,1635,-74.21224066,40.55251558,1,0,0,1,1,0,0,1
218441,1,2016,1644,-74.21291558,40.55426074,1,0,0,1,1,0,0,1
1162,9,2016,1658,-74.20699885,40.55756749,2,0,0,2,1,0,0,1
158303,12,2016,1658,-74.20699885,40.55756749,1,0,0,1,1,0,0,1
142060,2,2016,1665,-74.20314826,40.55606178,1,0,0,1,1,0,0,1
196747,10,2016,1665,-74.20314826,40.55606178,1,1,0,0,1,1,0,0
217775,1,2016,1665,-74.20314826,40.55606178,1,0,0,1,1,0,0,1
42271,7,2016,1668,-74.20506288,40.55727788,1,0,0,1,1,0,0,1
177890,11,2016,1677,-74.20097039,40.55079014,3,0,0,3,1,0,0,1
21626,8,2016,1682,-74.2004333,40.55091268,1,0,0,1,1,0,0,1
822,9,2016,1747,-74.19769481,40.55888705,1,0,0,1,1,0,0,1
41482,7,2016,1747,-74.19769481,40.55888705,1,0,0,1,1,0,0,1
196876,10,2016,1747,-74.19769481,40.55888705,1,0,0,1,1,0,0,1
141960,2,2016,1896,-74.18846835,40.52312762,1,0,0,1,1,0,0,1
217680,1,2016,1896,-74.18846835,40.52312762,1,0,0,1,1,0,0,1
84986,5,2016,1954,-74.19322788,40.52600388,1,1,0,0,1,1,0,0
84446,5,2016,1956,-74.19217465,40.52831459,2,1,0,1,1,1,0,1
21369,8,2016,1962,-74.19398457,40.53087105,1,1,0,0,1,1,0,0
177462,11,2016,1962,-74.19398457,40.53087105,3,3,0,0,1,1,0,0
197321,10,2016,1966,-74.19223166,40.52984543,2,0,0,2,1,0,0,1
197911,10,2016,1971,-74.19267129,40.53363349,1,0,0,1,1,0,0,1
22446,8,2016,1973,-74.19174369,40.5319167,1,0,0,1,1,0,0,1
143343,2,2016,1973,-74.19174369,40.5319167,2,0,0,2,1,0,0,1
159088,12,2016,1973,-74.19174369,40.5319167,1,0,0,1,1,0,0,1
178511,11,2016,1973,-74.19174369,40.5319167,1,1,0,0,1,1,0,0
83558,5,2016,1974,-74.19409662,40.53650724,1,0,0,1,1,0,0,1
124060,3,2016,1975,-74.19377169,40.53583385,1,1,0,0,1,1,0,0
62166,6,2016,1977,-74.19300901,40.53432605,1,0,0,1,1,0,0,1
197699,10,2016,1990,-74.19319775,40.54055133,1,1,0,0,1,1,0,0
61721,6,2016,1991,-74.19286858,40.53987395,1,0,0,1,1,0,0,1
62127,6,2016,1995,-74.19183286,40.54396112,2,0,0,2,1,0,0,1
20914,8,2016,2029,-74.19114098,40.52685998,1,0,0,1,1,0,0,1
141858,2,2016,2029,-74.19114098,40.52685998,1,1,0,0,1,1,0,0
196616,10,2016,2030,-74.19136907,40.52863522,4,0,0,4,1,0,0,1
176994,11,2016,2046,-74.19023491,40.53274195,1,0,0,1,1,0,0,1
196520,10,2016,2046,-74.19023491,40.53274195,1,0,0,1,1,0,0,1
198009,10,2016,2097,-74.18609816,40.52399642,2,0,0,2,1,0,0,1
85140,5,2016,2166,-74.18757347,40.55014768,1,0,0,1,1,0,0,1
177774,11,2016,2168,-74.18589159,40.54928817,1,0,0,1,1,0,0,1
142989,2,2016,2169,-74.18511653,40.54889374,1,1,0,0,1,1,0,0
197385,10,2016,2183,-74.18078912,40.52713273,1,1,0,0,1,1,0,0
159179,12,2016,2190,-74.18413761,40.5348567,1,1,0,0,1,1,0,0
104137,4,2016,2193,-74.1832021,40.5351534,1,0,0,1,1,0,0,1
158185,12,2016,2196,-74.18195944,40.53554875,1,0,0,1,1,0,0,1
158797,12,2016,2198,-74.18082931,40.53592489,1,0,0,1,1,0,0,1
178753,11,2016,2217,-74.18272191,40.54257848,1,1,0,0,1,1,0,0
62819,6,2016,2221,-74.18199273,40.54471435,1,0,0,1,1,0,0,1
62682,6,2016,2231,-74.18434906,40.54849088,1,0,0,1,1,0,0,1
62603,6,2016,2260,-74.17886744,40.53553517,3,0,0,3,1,0,0,1
158923,12,2016,2281,-74.17784336,40.54073817,5,0,0,5,1,0,0,1
870,9,2016,2291,-74.17730228,40.54492973,2,0,0,2,1,0,0,1
142255,2,2016,2291,-74.17730228,40.54492973,4,0,0,4,1,0,0,1
84872,5,2016,2293,-74.18042962,40.54653105,5,1,0,4,1,1,0,1
158522,12,2016,2297,-74.17809649,40.54535381,1,0,0,1,1,0,0,1
176748,11,2016,2298,-74.17811164,40.54792864,1,1,0,0,1,1,0,0
104417,4,2016,2318,-74.17671052,40.52679727,4,0,0,4,1,0,0,1
158407,12,2016,2326,-74.17377032,40.52670428,1,0,0,1,1,0,0,1
157992,12,2016,2360,-74.17649872,40.54448691,1,0,0,1,1,0,0,1
177351,11,2016,2360,-74.17649872,40.54448691,2,0,0,2,1,0,0,1
22676,8,2016,2361,-74.17578258,40.54408258,2,0,0,2,1,0,0,1
42867,7,2016,2361,-74.17578258,40.54408258,1,0,0,1,1,0,0,1
178190,11,2016,2362,-74.1749106,40.54281248,3,0,0,3,1,0,0,1
62644,6,2016,2367,-74.17377381,40.54315344,1,0,0,1,1,0,0,1
672,9,2016,2430,-74.17091962,40.53923194,2,0,0,2,1,0,0,1
22071,8,2016,2456,-74.17256639,40.5455989,3,0,0,3,1,0,0,1
158741,12,2016,2456,-74.17256639,40.5455989,1,0,0,1,1,0,0,1
217937,1,2016,2475,-74.1681312,40.52664179,1,0,0,1,1,0,0,1
83264,5,2016,2477,-74.16727656,40.52689597,1,0,0,1,1,0,0,1
158556,12,2016,2529,-74.16901769,40.54009672,2,0,0,2,1,0,0,1
197496,10,2016,2529,-74.16901769,40.54009672,3,0,0,3,1,0,0,1
41893,7,2016,2554,-74.16889214,40.54676528,1,0,0,1,1,0,0,1
105280,4,2016,2554,-74.16889214,40.54676528,1,0,0,1,1,0,0,1
63042,6,2016,2559,-74.16968473,40.55030251,1,1,0,0,1,1,0,0
219074,1,2016,2561,-74.16952674,40.54960223,1,0,0,1,1,0,0,1
197072,10,2016,2564,-74.16709948,40.54844737,1,0,0,1,1,0,0,1
22556,8,2016,2575,-74.16485366,40.52790876,1,0,0,1,1,0,0,1
1513,9,2016,2598,-74.16612089,40.53592314,2,0,0,2,1,0,0,1
84398,5,2016,2612,-74.16519085,40.5376803,1,0,0,1,1,0,0,1
197964,10,2016,2614,-74.16335692,40.53865683,2,0,0,2,1,0,0,1
41407,7,2016,2617,-74.16608893,40.54165523,1,0,0,1,1,0,0,1
159245,12,2016,2619,-74.16537515,40.54215084,1,0,0,1,1,0,0,1
106275,4,2016,2620,-74.16499773,40.54044729,4,0,0,4,1,0,0,1
217454,1,2016,2630,-74.16548821,40.54465254,2,0,0,2,1,0,0,1
61978,6,2016,2637,-74.16423141,40.54330116,1,1,0,0,1,1,0,0
83251,5,2016,2637,-74.16423141,40.54330116,1,0,0,1,1,0,0,1
197147,10,2016,2643,-74.16574238,40.5453977,1,0,0,1,1,0,0,1
177879,11,2016,2654,-74.16524032,40.54873072,1,0,0,1,1,0,0,1
41591,7,2016,2669,-74.16219381,40.53052394,1,0,1,0,1,0,1,0
83954,5,2016,2671,-74.16134962,40.52937342,1,0,0,1,1,0,0,1
124053,3,2016,2671,-74.16134962,40.52937342,1,1,0,0,1,1,0,0
158249,12,2016,2671,-74.16134962,40.52937342,1,0,0,1,1,0,0,1
177620,11,2016,2671,-74.16134962,40.52937342,1,1,0,0,1,1,0,0
218050,1,2016,2678,-74.16091462,40.53264981,1,0,0,1,1,0,0,1
40908,7,2016,2684,-74.16179612,40.53694814,1,0,0,1,1,0,0,1
63618,6,2016,2691,-74.16179313,40.53948932,1,0,0,1,1,0,0,1
125198,3,2016,2695,-74.1625275,40.54150271,1,0,0,1,1,0,0,1
105027,4,2016,2737,-74.19416145,40.55371253,2,0,0,2,1,0,0,1
196805,10,2016,2740,-74.1936304,40.5549222,1,1,0,0,1,1,0,0
123457,3,2016,2742,-74.19275118,40.5540868,1,0,0,1,1,0,0,1
217660,1,2016,2742,-74.19275118,40.5540868,2,0,0,2,1,0,0,1
105856,4,2016,2771,-74.19258646,40.56264005,1,0,0,1,1,0,0,1
41361,7,2016,2791,-74.18614424,40.55197306,1,0,0,1,1,0,0,1
142445,2,2016,2852,-74.18114813,40.55724178,1,0,0,1,1,0,0,1
84912,5,2016,2888,-74.18340312,40.56540496,1,0,0,1,1,0,0,1
83242,5,2016,2889,-74.18139492,40.56523798,1,0,0,1,1,0,0,1
123375,3,2016,2889,-74.18139492,40.56523798,1,0,0,1,1,0,0,1
219075,1,2016,2910,-74.18074594,40.55547623,1,1,0,0,1,1,0,0
197341,10,2016,2921,-74.18069271,40.55773504,1,1,0,0,1,1,0,0
123039,3,2016,2933,-74.18057734,40.56137029,2,0,0,2,1,0,0,1
21172,8,2016,2935,-74.18032684,40.5599718,1,0,0,1,1,0,0,1
41796,7,2016,2960,-74.17533405,40.55176931,2,0,0,2,1,0,0,1
84585,5,2016,2967,-74.1761166,40.55593754,1,0,0,1,1,0,0,1
63304,6,2016,2968,-74.17583489,40.55424414,1,0,0,1,1,0,0,1
42519,7,2016,2973,-74.17478064,40.55402401,1,0,1,0,1,0,1,0
142370,2,2016,2974,-74.17674198,40.55896173,2,0,0,2,1,0,0,1
123469,3,2016,2979,-74.17467336,40.55625642,1,0,0,1,1,0,0,1
105474,4,2016,2981,-74.17717376,40.56106299,1,1,0,0,1,1,0,0
217372,1,2016,2991,-74.17659366,40.56324133,1,0,0,1,1,0,0,1
84795,5,2016,3009,-74.17257115,40.55212614,1,0,0,1,1,0,0,1
143386,2,2016,3025,-74.1738479,40.55710456,1,1,0,0,1,1,0,0
217621,1,2016,3029,-74.17159095,40.55885354,3,0,0,3,1,0,0,1
105898,4,2016,3039,-74.17254527,40.56091634,2,0,0,2,1,0,0,1
22496,8,2016,3045,-74.17185167,40.56152092,1,0,0,1,1,0,0,1
42678,7,2016,3045,-74.17185167,40.56152092,1,0,0,1,1,0,0,1
106166,4,2016,3045,-74.17185167,40.56152092,3,0,0,3,1,0,0,1
143390,2,2016,3045,-74.17185167,40.56152092,1,1,0,0,1,1,0,0
178566,11,2016,3045,-74.17185167,40.56152092,1,0,0,1,1,0,0,1
219032,1,2016,3045,-74.17185167,40.56152092,1,1,0,0,1,1,0,0
20700,8,2016,3063,-74.16805223,40.55271771,4,0,0,4,1,0,0,1
83037,5,2016,3063,-74.16805223,40.55271771,3,0,0,3,1,0,0,1
177082,11,2016,3077,-74.16931681,40.55840978,1,0,0,1,1,0,0,1
123089,3,2016,3083,-74.16651954,40.55889438,3,0,0,3,1,0,0,1
396,9,2016,3088,-74.16982582,40.56109042,1,1,0,0,1,1,0,0
61890,6,2016,3088,-74.16982582,40.56109042,1,0,0,1,1,0,0,1
157613,12,2016,3088,-74.16982582,40.56109042,6,1,0,5,1,1,0,1
176933,11,2016,3088,-74.16982582,40.56109042,3,0,0,3,1,0,0,1
196464,10,2016,3088,-74.16982582,40.56109042,2,0,0,2,1,0,0,1
21878,8,2016,3089,-74.1694772,40.55912667,2,1,0,1,1,1,0,1
42075,7,2016,3089,-74.1694772,40.55912667,2,1,0,1,1,1,0,1
124370,3,2016,3089,-74.1694772,40.55912667,1,1,0,0,1,1,0,0
197469,10,2016,3089,-74.1694772,40.55912667,1,0,0,1,1,0,0,1
218436,1,2016,3089,-74.1694772,40.55912667,1,1,0,0,1,1,0,0
124536,3,2016,3092,-74.16762299,40.55936824,1,1,0,0,1,1,0,0
