FID,YR,NODEID,Lon,Lat,Injuries_COUNT,PedInjurie_COUNT,BikeInjuri_COUNT,MVOInjurie_COUNT,Injuries,PedInjurie,BikeInjuri,MVOInjurie
0,2016,26259,-73.92834753,40.64219749,9,0,0,9,1,0,0,1
1,2016,40916,-73.92232153,40.72038063,1,0,1,0,1,0,1,0
2,2016,58711,-73.78568493,40.72773019,2,2,0,0,1,1,0,0
3,2016,22834,-73.9629746,40.76248708,5,1,0,4,1,1,0,1
4,2016,26856,-73.92987365,40.66399077,10,0,0,10,1,0,0,1
5,2016,24836,-73.94255814,40.59358849,2,1,0,1,1,1,0,1
6,2016,4697,-74.14864555,40.56459763,1,0,0,1,1,0,0,1
7,2016,22692,-73.96864226,40.76159996,4,1,0,3,1,1,0,1
8,2016,18028,-73.97054554,40.64531667,2,1,0,1,1,1,0,1
9,2016,37592,-73.77712347,40.71426199,1,1,0,0,1,1,0,0
10,2016,8282,-74.09260419,40.58311993,1,1,0,0,1,1,0,0
11,2016,20987,-73.98279128,40.73393097,1,0,1,0,1,0,1,0
12,2016,34598,-73.82575765,40.70442753,1,0,0,1,1,0,0,1
13,2016,13989,-74.00092542,40.6403459,3,3,0,0,1,1,0,0
14,2016,12225,-74.01634261,40.64965573,1,1,0,0,1,1,0,0
15,2016,18238,-73.96100797,40.6500826,7,1,1,5,1,1,1,1
16,2016,27718,-73.92383408,40.68854094,1,1,0,0,1,1,0,0
17,2016,29123,-73.90479078,40.66925399,3,1,0,2,1,1,0,1
18,2016,48483,-73.8725298,40.82904833,4,0,0,4,1,0,0,1
19,2016,20907,-73.98353592,40.73000773,9,4,1,4,1,1,1,1
20,2016,23427,-73.96945603,40.79783789,3,0,1,2,1,0,1,1
21,2016,61564,-73.733773,40.73889928,8,3,0,5,1,1,0,1
22,2016,16789,-73.96034954,40.58730629,10,4,0,6,1,1,0,1
23,2016,58553,-73.79174473,40.72578885,5,3,0,2,1,1,0,1
24,2016,53676,-73.85578043,40.86544056,1,0,0,1,1,0,0,1
25,2016,50489,-73.84085753,40.72098369,1,0,0,1,1,0,0,1
26,2016,17498,-73.96462714,40.62726546,1,0,0,1,1,0,0,1
27,2016,26419,-73.92046701,40.64965418,2,2,0,0,1,1,0,0
28,2016,47697,-73.87356809,40.82441985,8,0,0,8,1,0,0,1
29,2016,46539,-73.89150523,40.74723844,2,0,1,1,1,0,1,1
30,2016,46723,-73.88324519,40.7595258,5,1,0,4,1,1,0,1
31,2016,49940,-73.86082755,40.72957407,1,0,0,1,1,0,0,1
32,2016,58720,-73.78649867,40.73197222,1,0,0,1,1,0,0,1
33,2016,15360,-74.00698584,40.7117375,1,1,0,0,1,1,0,0
34,2016,70735,-73.82014746,40.5854745,1,0,0,1,1,0,0,1
35,2016,36888,-73.76655911,40.66785985,4,0,0,4,1,0,0,1
36,2016,20940,-73.98335962,40.74141217,1,1,0,0,1,1,0,0
37,2016,32409,-73.85504785,40.69135162,1,1,0,0,1,1,0,0
38,2016,49002,-73.888557,40.87519731,1,0,0,1,1,0,0,1
39,2016,54353,-73.85369913,40.90495716,1,0,0,1,1,0,0,1
40,2016,38634,-73.73203729,40.65293107,2,0,0,2,1,0,0,1
41,2016,44533,-73.92027632,40.8626059,3,0,0,3,1,0,0,1
42,2016,17576,-73.95840174,40.61958367,1,0,0,1,1,0,0,1
43,2016,17229,-73.97580132,40.62359355,4,1,0,3,1,1,0,1
44,2016,19737,-73.95398939,40.69320527,4,0,2,2,1,0,1,1
45,2016,28051,-73.90898885,40.70503175,1,0,0,1,1,0,0,1
46,2016,31703,-73.85111056,40.68473395,2,0,0,2,1,0,0,1
47,2016,16714,-73.96303345,40.59810222,3,1,0,2,1,1,0,1
48,2016,16969,-73.95188918,40.585936,4,3,1,0,1,1,1,0
49,2016,27533,-73.93480282,40.7133725,2,0,1,1,1,0,1,1
50,2016,59736,-73.77325803,40.7445803,2,0,0,2,1,0,0,1
51,2016,53854,-73.84692348,40.87415335,2,0,0,2,1,0,0,1
52,2016,14672,-73.99776979,40.67474149,3,1,1,1,1,1,1,1
53,2016,46710,-73.88536728,40.75555694,3,0,0,3,1,0,0,1
54,2016,13748,-73.97963822,40.61556455,1,1,0,0,1,1,0,0
55,2016,22814,-73.96431354,40.76059923,9,2,2,5,1,1,1,1
56,2016,44224,-73.91221277,40.85078101,1,0,0,1,1,0,0,1
57,2016,22704,-73.97072777,40.76739372,1,0,0,1,1,0,0,1
58,2016,22464,-73.9790585,40.74444355,3,3,0,0,1,1,0,0
59,2016,26701,-73.94236048,40.66762256,3,3,0,0,1,1,0,0
60,2016,52609,-73.86268437,40.84042152,1,1,0,0,1,1,0,0
61,2016,51838,-73.83905249,40.77662845,2,0,0,2,1,0,0,1
62,2016,26469,-73.91532187,40.63963744,1,0,1,0,1,0,1,0
63,2016,39062,-73.75135892,40.67789761,4,0,0,4,1,0,0,1
64,2016,26783,-73.93807696,40.6831609,1,1,0,0,1,1,0,0
65,2016,62603,-73.72455549,40.73384495,1,0,0,1,1,0,0,1
66,2016,37515,-73.77773485,40.71027617,1,0,0,1,1,0,0,1
67,2016,34117,-73.81164515,40.68565548,2,0,0,2,1,0,0,1
68,2016,39790,-73.75380958,40.69097513,3,1,1,1,1,1,1,1
69,2016,59395,-73.78516838,40.76143282,1,0,0,1,1,0,0,1
70,2016,34702,-73.82147825,40.7034156,1,0,0,1,1,0,0,1
71,2016,41668,-73.92345725,40.76434806,1,1,0,0,1,1,0,0
72,2016,52837,-73.84955891,40.83440887,4,0,0,4,1,0,0,1
73,2016,18935,-73.95361543,40.6613878,1,0,0,1,1,0,0,1
74,2016,26024,-73.9405971,40.63908298,12,0,0,12,1,0,0,1
75,2016,43122,-73.91085651,40.80044684,1,0,0,1,1,0,0,1
76,2016,14036,-73.99943388,40.63488516,2,2,0,0,1,1,0,0
77,2016,19197,-73.97510566,40.68969751,5,1,4,0,1,1,1,0
78,2016,41515,-73.92948037,40.74618925,1,0,0,1,1,0,0,1
79,2016,46936,-73.87221856,40.75694322,1,0,0,1,1,0,0,1
80,2016,12160,-74.02159803,40.64459805,2,0,0,2,1,0,0,1
81,2016,36768,-73.77296098,40.68470038,1,0,0,1,1,0,0,1
82,2016,18701,-73.97082603,40.68161594,1,0,0,1,1,0,0,1
83,2016,49857,-73.86409992,40.72738203,1,1,0,0,1,1,0,0
84,2016,44543,-73.91894226,40.86446291,8,1,0,7,1,1,0,1
85,2016,12987,-73.98719211,40.59792605,6,3,2,1,1,1,1,1
86,2016,55951,-73.80835483,40.76978103,1,0,0,1,1,0,0,1
87,2016,21252,-73.99619656,40.74843933,1,0,0,1,1,0,0,1
88,2016,61073,-73.75418824,40.7170255,2,0,0,2,1,0,0,1
89,2016,31700,-73.85280059,40.68425311,2,1,0,1,1,1,0,1
90,2016,46655,-73.88672973,40.76305326,3,1,0,2,1,1,0,1
91,2016,22582,-73.97304503,40.75269162,3,1,2,0,1,1,1,0
92,2016,23920,-73.96191714,40.8005434,1,1,0,0,1,1,0,0
93,2016,46625,-73.88709814,40.74945389,2,0,0,2,1,0,0,1
94,2016,54558,-73.84507992,40.90335874,1,0,0,1,1,0,0,1
95,2016,24407,-73.94468026,40.84105098,9,0,1,8,1,0,1,1
96,2016,21345,-73.992079,40.75409112,5,0,0,5,1,0,0,1
97,2016,61103,-73.75409142,40.72469191,7,0,1,6,1,0,1,1
98,2016,48811,-73.89262982,40.85582307,1,0,0,1,1,0,0,1
99,2016,18539,-73.97806037,40.67111241,2,0,1,1,1,0,1,1
100,2016,23267,-73.97736846,40.77936425,1,1,0,0,1,1,0,0
101,2016,27841,-73.91883331,40.70586712,2,0,0,2,1,0,0,1
102,2016,33985,-73.81412117,40.66739184,1,0,0,1,1,0,0,1
103,2016,18973,-73.95281121,40.67784423,9,0,2,7,1,0,1,1
104,2016,20559,-73.99918496,40.73924284,2,1,1,0,1,1,1,0
105,2016,13983,-74.00325273,40.63810426,2,0,0,2,1,0,0,1
106,2016,42402,-73.90890276,40.77486146,1,1,0,0,1,1,0,0
107,2016,52632,-73.86250924,40.84836228,1,0,0,1,1,0,0,1
108,2016,7077,-74.12688873,40.63721009,1,1,0,0,1,1,0,0
109,2016,24201,-73.94697367,40.7999617,1,1,0,0,1,1,0,0
110,2016,10536,-74.08048023,40.61729544,1,0,0,1,1,0,0,1
111,2016,18618,-73.97244492,40.67716201,2,0,0,2,1,0,0,1
112,2016,42499,-73.93879245,40.80828005,1,0,1,0,1,0,1,0
113,2016,13562,-73.99365165,40.61569382,1,0,0,1,1,0,0,1
114,2016,45601,-73.89055988,40.73927465,4,0,0,4,1,0,0,1
115,2016,56000,-73.8037408,40.76213337,4,1,0,3,1,1,0,1
116,2016,19726,-73.95599388,40.71409199,7,2,1,4,1,1,1,1
117,2016,18473,-73.94562475,40.64112599,8,5,0,3,1,1,0,1
118,2016,48625,-73.90339093,40.87687833,7,4,0,3,1,1,0,1
119,2016,29798,-73.87280326,40.67264295,1,0,0,1,1,0,0,1
120,2016,6533,-74.13215051,40.60855196,6,3,0,3,1,1,0,1
121,2016,7137,-74.12005267,40.56039321,10,0,0,10,1,0,0,1
122,2016,19824,-73.94833093,40.69097346,2,0,0,2,1,0,0,1
123,2016,27531,-73.93528872,40.71445704,8,0,1,7,1,0,1,1
124,2016,21478,-73.98564678,40.76291487,2,1,1,0,1,1,1,0
125,2016,52505,-73.86393748,40.84004457,1,0,1,0,1,0,1,0
126,2016,6980,-74.13476961,40.63602507,8,2,0,6,1,1,0,1
127,2016,42069,-73.93636093,40.79469761,1,0,0,1,1,0,0,1
128,2016,61218,-73.74732238,40.71724375,2,0,0,2,1,0,0,1
129,2016,30569,-73.87161766,40.71329024,3,0,0,3,1,0,0,1
130,2016,21139,-74.00233169,40.75020826,4,0,1,3,1,0,1,1
131,2016,36840,-73.76685762,40.68006181,4,0,0,4,1,0,0,1
132,2016,43072,-73.91677118,40.81569883,2,0,0,2,1,0,0,1
133,2016,6711,-74.13024789,40.62960913,1,0,0,1,1,0,0,1
134,2016,43271,-73.90912668,40.81593923,1,0,0,1,1,0,0,1
