FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
0,1,0,1,1,0,0,1,2016,49219,1019940.705200000000000,250583.601900000010000,BRONX RIVER PARKWAY EXIT 6 NB,BOSTON ROAD
1,1,1,1,1,0,0,1,2016,27203,1008957.269500000100000,185699.491500000000000,ATLANTIC AVENUE,ROCKAWAY AVENUE
2,1,2,1,1,0,0,1,2016,44093,1007745.368999999900000,245041.175300000000000,EAST 170 STREET,WYTHE PLACE
3,1,3,1,1,0,0,1,2016,23418,992454.832300000010000,228572.793600000000000,AMSTERDAM AVENUE,WEST 96 STREET
4,1,4,1,1,0,0,1,2016,12731,983820.850600000010000,158397.939500000010000,20 AVENUE,BATH AVENUE
5,1,5,1,1,0,0,1,2016,23636,997841.025600000050000,220070.537300000000000,YORK AVENUE,EAST 78 STREET
6,1,6,1,0,0,1,1,2016,5215,948925.498499999990000,146086.071399999990000,AMBER STREET,AMBOY ROAD
7,1,7,1,1,0,0,1,2016,43732,1003371.877100000000000,248277.589500000000000,AMSTERDAM AVENUE,WEST 181 STREET
8,1,8,1,0,0,1,1,2016,2475,937509.245400000010000,131191.249199999990000,HYLAN BOULEVARD,ALLEN PLACE
9,1,9,1,0,0,1,1,2016,54303,1024100.414700000000000,261325.315700000010000,BRONXWOOD AVENUE,EAST 222 STREET
10,1,10,1,0,1,0,1,2016,16715,994774.246999999970000,157221.298100000010000,EAST 9 STREET,AVENUE U
11,1,11,1,0,1,0,1,2016,53646,1024286.014700000100000,250375.820199999990000,TOMLINSON AVENUE,NEILL AVENUE
12,1,12,1,1,0,0,1,2016,51702,1026950.480900000000000,225016.494899999990000,COLLEGE POINT BOULEVARD,15 AVENUE
13,1,13,1,1,0,0,1,2016,20760,987744.461499999980000,200974.116100000010000,DELANCEY STREET,NORFOLK STREET
14,1,14,1,1,0,0,2,2016,39324,1057597.833300000100000,181766.753600000000000,SOUTH CONDUIT AVENUE,243 STREET
15,1,15,1,0,0,1,2,2016,43658,1003967.637100000100000,242666.442899999990000,WEST 164 STREET,NELSON AVENUE
16,1,16,1,0,0,1,2,2016,20084,981967.917900000000000,202308.283100000000000,LAIGHT STREET,HOLLAND TUNNEL EXIT
17,1,17,1,1,0,0,2,2016,47861,1011174.200700000000000,246996.168100000010000,CROSS BRONX EXPRESSWAY,WEBSTER AVENUE
18,1,18,1,0,0,1,2,2016,58296,1031674.434700000000000,262822.770000000020000,LIGHT STREET,PROVOST AVENUE
19,1,19,1,1,0,0,2,2016,13443,984884.703400000000000,166499.927499999990000,65 STREET,NEW UTRECHT AVENUE
20,1,20,1,1,0,0,2,2016,21508,989230.554299999960000,212176.114399999990000,EAST 36 STREET,MADISON AVENUE
21,1,21,1,1,0,0,2,2016,26822,1002811.642299999900000,186138.076600000000000,ATLANTIC AVENUE,SCHENECTADY AVENUE
22,1,22,1,1,0,0,2,2016,43356,1000537.759100000000000,245018.324300000010000,BROADWAY,WEST 165 STREET
23,1,23,1,1,0,0,2,2016,21212,984088.146599999980000,215324.651099999990000,11 AVENUE,WEST 37 STREET
24,1,24,1,0,0,1,2,2016,49138,1017650.119200000000000,257602.983899999990000,EAST 204 STREET,EAST 205 STREET
25,1,25,1,1,0,0,2,2016,52751,1024136.067500000000000,243850.095399999990000,STARLING AVENUE,UNIONPORT ROAD
26,1,26,1,0,1,0,2,2016,5043,946178.295900000030000,148032.228899999990000,ANDREWS AVENUE,RICHMOND ROAD
27,1,27,1,1,0,0,2,2016,33760,1031686.835899999900000,187184.032500000000000,111 STREET,109 AVENUE
28,1,28,1,1,0,0,2,2016,26515,1007749.706300000000000,177638.523699999990000,EAST 95 STREET,LINDEN BOULEVARD
29,1,29,1,1,0,0,2,2016,14995,988049.313300000040000,183074.342899999990000,5 AVENUE,9 STREET
30,1,30,1,0,0,1,2,2016,30291,1015636.596300000000000,193111.651900000000000,CYPRESS HILLS STREET,80 AVENUE
31,1,31,1,1,0,0,2,2016,56610,1037247.090500000000000,224866.052300000010000,17 AVENUE,CLINTONVILLE STREET
32,1,32,1,1,0,0,3,2016,30178,1013742.407500000000000,195156.155300000010000,71 AVENUE,CYPRESS HILLS STREET
33,1,33,1,1,0,0,3,2016,51022,1024481.912999999900000,214270.309700000010000,113 STREET,37 AVENUE
34,1,34,1,1,0,0,3,2016,19801,997802.462700000030000,198300.945600000010000,GRAND STREET,UNION AVENUE
35,1,35,1,0,0,1,3,2016,53298,1029141.231700000000000,246405.029500000000000,WESTCHESTER AVENUE,HUTCHINSON RIVER PARKWAY
36,1,36,1,1,0,0,3,2016,24259,999378.319099999960000,230483.462300000010000,EAST 115 STREET,MADISON AVENUE
37,1,37,1,1,0,0,3,2016,43875,1005283.280799999900000,243518.504500000010000,SHAKESPEARE AVENUE,JEROME AVENUE
38,1,38,1,1,0,0,3,2016,23610,996806.670700000020000,225842.379099999990000,EAST 95 STREET,MADISON AVENUE
