FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,nodeX,nodeY,STREET1,STREET2
0,1,0,1,1,0,0,2016,133,915211.8037,125369.6338,MAIN STREET,CRAIG AVENUE
1,1,1,1,1,0,0,2016,66755,950434.3271,148754.0582,RICHMOND ROAD,AMBOY ROAD
2,1,2,1,0,1,0,2016,19991,980632.9236,200300.1903,WARREN STREET,WEST STREET
3,1,3,1,0,0,1,2016,21041,982009.5944,211104.7255,11 AVENUE,WEST 19 STREET
4,1,4,1,0,0,1,2016,26907,1004800.966,181823.0229,EAST NEW YORK AVENUE,BUFFALO AVENUE
5,1,5,1,0,1,0,2016,25199,1004653.332,155733.1876,GERRITSEN AVENUE,DEVON AVENUE
6,1,6,1,1,0,0,2016,28123,1013396.755,144243.3848,MARSHALL ROAD,CENTER ROAD
7,1,7,1,1,0,0,2016,48259,1016553.704,240013.3773,WATSON AVENUE,BRONX RIVER AVENUE
8,1,8,1,1,0,0,2016,49219,1019940.705,250583.6019,BRONX RIVER PARKWAY EXIT 6 NB,BOSTON ROAD
9,1,9,1,1,0,0,2016,33710,1030090.96,186283.8309,CENTREVILLE STREET,ROSITA ROAD
10,1,10,1,0,1,0,2016,57324,1030672.298,243633.1765,EAST TREMONT AVENUE,PURITAN AVENUE
11,1,11,1,0,0,1,2016,54867,1033968.342,200375.4494,GRAND CENTRAL PARKWAY ET 14 EB,UNION TURNPIKE
12,1,12,1,0,0,1,2016,60223,1042166.014,226822.5612,THROGS NECK BRDG NB EN TOTTEN AV,CROSS ISLAND PARKWAY ET 33 NB
13,1,13,1,1,0,0,2016,39328,1057674.503,181757.7737,SOUTH CONDUIT AVENUE,FRANCIS LEWIS BOULEVARD
14,1,14,1,1,0,0,2016,55442,1030414.467,217696.9823,35 AVENUE,PRINCE STREET
15,1,15,1,1,0,0,2016,21533,989925.3889,216584.3336,WEST 52 STREET,AVENUE OF THE AMERICAS
16,1,16,1,1,0,0,2016,21281,985121.9996,215339.179,WEST 39 STREET,10 AVENUE
17,1,17,1,0,0,1,2016,43658,1003967.637,242666.4429,WEST 164 STREET,NELSON AVENUE
18,1,18,1,1,0,0,2016,27203,1008957.27,185699.4915,ATLANTIC AVENUE,ROCKAWAY AVENUE
19,1,19,1,1,0,0,2016,4385,943363.8724,136416.2748,WIMAN AVENUE,HYLAN BOULEVARD
20,1,20,1,1,0,0,2016,44093,1007745.369,245041.1753,EAST 170 STREET,WYTHE PLACE
21,1,21,1,1,0,0,2016,42922,1005597.155,234065.5483,WILLIS AVENUE,EAST 138 STREET
22,1,22,1,1,0,0,2016,41663,1005140.899,216757.2631,BROADWAY,32 STREET
23,1,23,1,1,0,0,2016,41416,1001760.922,216128.8588,21 STREET,36 AVENUE
24,1,24,1,1,0,0,2016,52832,1025146.275,244015.7673,STARLING AVENUE,CASTLE HILL AVENUE
25,1,25,1,0,0,1,2016,20084,981967.9179,202308.2831,LAIGHT STREET,HOLLAND TUNNEL EXIT
26,1,26,1,1,0,0,2016,36624,1046070.76,181129.8389,144 TERRACE,ROCKAWAY BOULEVARD
27,1,27,1,1,0,0,2016,22565,991677.9441,211408.3666,EAST 38 STREET,QUEENS MIDTOWN TUNNEL APPROACH
28,1,28,1,0,0,1,2016,16538,993250.3855,150725.6258,OCEAN PARKWAY,NEPTUNE AVENUE
29,1,29,1,1,0,0,2016,23418,992454.8323,228572.7936,AMSTERDAM AVENUE,WEST 96 STREET
30,1,30,1,1,0,0,2016,28911,1014932.441,178651.3859,PENNSYLVANIA AVENUE,STANLEY AVENUE
31,1,31,1,1,0,0,2016,30178,1013742.408,195156.1553,71 AVENUE,CYPRESS HILLS STREET
32,1,32,1,0,1,0,2016,17465,994975.057,161554.2255,AVENUE P,EAST 12 STREET
33,1,33,1,1,0,0,2016,8621,952098.4153,160393.5293,WESTWOOD AVENUE,FINE BOULEVARD
34,1,34,1,0,0,1,2016,57640,1033951.69,246868.9669,STADIUM AVENUE,GRISWOLD AVENUE
35,1,35,1,1,0,0,2016,27217,1008135.742,187007.048,MAC DOUGAL STREET,THOMAS S BOYLAND STREET
36,1,36,1,1,0,0,2016,55439,1030444.496,217145.8154,NORTHERN BOULEVARD,PRINCE STREET
37,1,37,1,0,0,1,2016,23352,991166.538,227173.3869,BROADWAY,WEST 89 STREET
