FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,Lon,Lat,STREET1,STREET2
0,1,0,1,1,0,0,2016,133,-74.24827763,40.5105171,MAIN STREET,CRAIG AVENUE
1,1,1,1,1,0,0,2016,66755,-74.12172624,40.57490698,RICHMOND ROAD,AMBOY ROAD
2,1,2,1,0,1,0,2016,19991,-74.01304803,40.71645371,WARREN STREET,WEST STREET
3,1,3,1,0,0,1,2016,21041,-74.00808551,40.74610997,11 AVENUE,WEST 19 STREET
4,1,4,1,0,0,1,2016,26907,-73.92592201,40.66571503,EAST NEW YORK AVENUE,BUFFALO AVENUE
5,1,5,1,0,1,0,2016,25199,-73.92653305,40.59410431,GERRITSEN AVENUE,DEVON AVENUE
6,1,6,1,1,0,0,2016,28123,-73.89509989,40.56254265,MARSHALL ROAD,CENTER ROAD
7,1,7,1,1,0,0,2016,48259,-73.88327866,40.8253977,WATSON AVENUE,BRONX RIVER AVENUE
8,1,8,1,1,0,0,2016,49219,-73.87098435,40.85439682,BRONX RIVER PARKWAY EXIT 6 NB,BOSTON ROAD
9,1,9,1,1,0,0,2016,33710,-73.83473155,40.67786411,CENTREVILLE STREET,ROSITA ROAD
10,1,10,1,0,1,0,2016,57324,-73.83223972,40.83527008,EAST TREMONT AVENUE,PURITAN AVENUE
11,1,11,1,0,0,1,2016,54867,-73.82064861,40.71652131,GRAND CENTRAL PARKWAY ET 14 EB,UNION TURNPIKE
12,1,12,1,0,0,1,2016,60223,-73.79084907,40.78906186,THROGS NECK BRDG NB EN TOTTEN AV,CROSS ISLAND PARKWAY ET 33 NB
13,1,13,1,1,0,0,2016,39328,-73.73533558,40.66525534,SOUTH CONDUIT AVENUE,FRANCIS LEWIS BOULEVARD
14,1,14,1,1,0,0,2016,55442,-73.83334977,40.76408379,35 AVENUE,PRINCE STREET
15,1,15,1,1,0,0,2016,21533,-73.97951319,40.76114856,WEST 52 STREET,AVENUE OF THE AMERICAS
16,1,16,1,1,0,0,2016,21281,-73.99685245,40.75773271,WEST 39 STREET,10 AVENUE
17,1,17,1,0,0,1,2016,43658,-73.92874744,40.83271667,WEST 164 STREET,NELSON AVENUE
18,1,18,1,1,0,0,2016,27203,-73.91092601,40.67634445,ATLANTIC AVENUE,ROCKAWAY AVENUE
19,1,19,1,1,0,0,2016,4385,-74.14710312,40.5410124,WIMAN AVENUE,HYLAN BOULEVARD
20,1,20,1,1,0,0,2016,44093,-73.91508774,40.83922538,EAST 170 STREET,WYTHE PLACE
21,1,21,1,1,0,0,2016,42922,-73.9228863,40.80910586,WILLIS AVENUE,EAST 138 STREET
22,1,22,1,1,0,0,2016,41663,-73.92458829,40.76160035,BROADWAY,32 STREET
23,1,23,1,1,0,0,2016,41416,-73.93679092,40.75988288,21 STREET,36 AVENUE
24,1,24,1,1,0,0,2016,52832,-73.85220721,40.8363475,STARLING AVENUE,CASTLE HILL AVENUE
25,1,25,1,0,0,1,2016,20084,-74.00823293,40.72196589,LAIGHT STREET,HOLLAND TUNNEL EXIT
26,1,26,1,1,0,0,2016,36624,-73.77716775,40.66362043,144 TERRACE,ROCKAWAY BOULEVARD
27,1,27,1,1,0,0,2016,22565,-73.9731926,40.74694055,EAST 38 STREET,QUEENS MIDTOWN TUNNEL APPROACH
28,1,28,1,0,0,1,2016,16538,-73.96759868,40.58037847,OCEAN PARKWAY,NEPTUNE AVENUE
29,1,29,1,1,0,0,2016,23418,-73.97036786,40.79405174,AMSTERDAM AVENUE,WEST 96 STREET
30,1,30,1,1,0,0,2016,28911,-73.88941658,40.65698028,PENNSYLVANIA AVENUE,STANLEY AVENUE
31,1,31,1,1,0,0,2016,30178,-73.89363337,40.70228614,71 AVENUE,CYPRESS HILLS STREET
32,1,32,1,0,1,0,2016,17465,-73.96137268,40.61009887,AVENUE P,EAST 12 STREET
33,1,33,1,1,0,0,2016,8621,-74.11579141,40.60686117,WESTWOOD AVENUE,FINE BOULEVARD
34,1,34,1,0,0,1,2016,57640,-73.82036474,40.84413351,STADIUM AVENUE,GRISWOLD AVENUE
35,1,35,1,1,0,0,2016,27217,-73.91388312,40.67993564,MAC DOUGAL STREET,THOMAS S BOYLAND STREET
36,1,36,1,1,0,0,2016,55439,-73.83324516,40.76257082,NORTHERN BOULEVARD,PRINCE STREET
37,1,37,1,0,0,1,2016,23352,-73.97502204,40.79021185,BROADWAY,WEST 89 STREET
38,1,38,1,1,0,0,2016,50884,-73.86140668,40.74930741,104 STREET,41 AVENUE
39,1,39,1,1,0,0,2016,47861,-73.9026881,40.84458147,CROSS BRONX EXPRESSWAY,WEBSTER AVENUE
40,1,40,1,1,0,0,2016,51022,-73.85478631,40.75470745,113 STREET,37 AVENUE
41,1,41,1,1,0,0,2016,43510,-73.93639683,40.84954119,BROADWAY,WEST 180 STREET
42,1,42,1,0,0,1,2016,6675,-74.12750057,40.61565567,CROWELL AVENUE,WESTCOTT BOULEVARD
43,1,43,1,0,0,1,2016,53473,-73.8651777,40.87233112,HOLLAND AVENUE,SOUTH OAK DRIVE
