NODEID,Lon,Lat
1,-74.25702151,40.49414564
2,-74.24443849,40.49227769
3,-74.25874354,40.49704149
4,-74.25874746,40.50270602
5,-74.25850082,40.50810821
6,-74.25816974,40.50886107
7,-74.25797605,40.50779251
8,-74.25423515,40.50213953
9,-74.25393126,40.50232144
10,-74.25348916,40.50235311
11,-74.25272507,40.50251776
12,-74.2553585,40.50517013
13,-74.25432837,40.50531457
14,-74.2542231,40.50616529
15,-74.25388275,40.50469189
16,-74.25409843,40.5058101
17,-74.25317483,40.50476716
18,-74.25317615,40.50551373
19,-74.25309317,40.50629819
20,-74.25554269,40.50783774
21,-74.2552091,40.50778114
22,-74.25453058,40.50695649
23,-74.25493554,40.50770098
24,-74.25459461,40.50819608
25,-74.25392303,40.50768188
26,-74.25300101,40.5068825
27,-74.25287758,40.50762556
28,-74.25373355,40.50937689
30,-74.25271166,40.51060046
31,-74.25270907,40.51197206
32,-74.25307525,40.51214073
33,-74.2526953,40.51222438
34,-74.25480998,40.5153438
35,-74.25441676,40.51571905
36,-74.2508549,40.49800616
37,-74.25003346,40.49856526
38,-74.24984173,40.49787801
39,-74.24903762,40.49650027
40,-74.25259983,40.49964308
41,-74.25152224,40.50015069
42,-74.25026589,40.49930098
43,-74.25138242,40.50011276
44,-74.2507105,40.50047146
45,-74.24977369,40.50054672
46,-74.24992755,40.50087623
47,-74.24960549,40.50058022
48,-74.25037274,40.50265587
49,-74.24915649,40.49871713
50,-74.24934702,40.49944015
51,-74.25183029,40.5027747
52,-74.2513633,40.50287906
53,-74.25112355,40.50208958
54,-74.25052102,40.5030416
55,-74.24970247,40.50321208
56,-74.25232395,40.50563945
57,-74.25146174,40.50575945
58,-74.25135751,40.50541558
59,-74.25057472,40.50588379
60,-74.25050042,40.50553699
61,-74.24957635,40.50566263
62,-74.24969509,40.50600319
63,-74.25217144,40.50689816
64,-74.25208045,40.50758298
65,-74.25173298,40.50688465
66,-74.25088028,40.50712298
67,-74.25116515,40.50778277
68,-74.25119802,40.5089382
69,-74.25032856,40.50803125
70,-74.25002978,40.50737207
71,-74.24948283,40.50828197
72,-74.24917966,40.50763563
73,-74.24906858,40.50841286
74,-74.25245172,40.5095165
75,-74.25206865,40.51136082
76,-74.25136032,40.51065522
77,-74.25154258,40.51083978
78,-74.25139685,40.51173955
79,-74.25114838,40.51187842
80,-74.25025995,40.50958018
81,-74.25068898,40.51100319
82,-74.25026135,40.51059512
83,-74.24998516,40.51067326
84,-74.24912819,40.50981296
85,-74.24935669,40.51005176
86,-74.24913121,40.51079383
87,-74.2490013,40.51061256
88,-74.25212591,40.51371038
89,-74.25192931,40.51320944
90,-74.25178592,40.51401005
91,-74.2513297,40.51369937
92,-74.25121617,40.513582
93,-74.25086236,40.51322097
94,-74.25069531,40.51302435
95,-74.25004212,40.51338479
96,-74.2501485,40.51245303
97,-74.24965837,40.51433544
98,-74.25004034,40.51361264
99,-74.24967144,40.51364812
100,-74.24951311,40.51415679
101,-74.2492027,40.51380494
102,-74.24893307,40.49804483
103,-74.24861757,40.49734798
104,-74.24797739,40.49823048
105,-74.24747001,40.49666999
106,-74.24753808,40.49699166
107,-74.24701764,40.49841884
108,-74.24676103,40.49613399
109,-74.2463756,40.49656782
110,-74.24641371,40.49678741
111,-74.24562616,40.49714156
112,-74.24884796,40.50073781
113,-74.24795839,40.50091793
114,-74.24707445,40.5010994
115,-74.24616511,40.49858237
116,-74.24882878,40.50338945
117,-74.24793663,40.50356986
118,-74.24702239,40.50375673
119,-74.24619554,40.50128086
120,-74.24609063,40.50393985
121,-74.24879607,40.50611564
122,-74.24836932,40.50622976
123,-74.24789245,40.50630358
124,-74.24696439,40.50648031
125,-74.24607932,40.50665763
126,-74.2485309,40.50857112
127,-74.24804593,40.50871564
128,-74.24775189,40.50880184
129,-74.24690265,40.50904526
130,-74.24605755,40.50929722
131,-74.2485546,40.51080381
132,-74.24836072,40.51008418
133,-74.24827763,40.5105171
134,-74.24824136,40.51206581
135,-74.24784851,40.50953694
136,-74.24747278,40.5096747
137,-74.2466825,40.51107181
138,-74.24899157,40.51288183
139,-74.24856301,40.51309298
140,-74.24899562,40.51417897
141,-74.24838338,40.51447365
143,-74.24764807,40.51476636
144,-74.247563,40.5135883
145,-74.24737466,40.51446355
146,-74.24721876,40.51376321
147,-74.24688918,40.51396481
148,-74.24628613,40.51436133
149,-74.24586667,40.51463605
150,-74.24574681,40.5147111
151,-74.24822172,40.51648602
152,-74.24693048,40.51606645
153,-74.24674997,40.51649561
154,-74.24612561,40.5161166
155,-74.24598177,40.51694324
156,-74.24571277,40.51798442
157,-74.24606887,40.5209515
158,-74.2460977,40.52161425
159,-74.24476401,40.49740484
160,-74.24478147,40.4974931
161,-74.24385591,40.49757927
162,-74.24297101,40.49762276
163,-74.24301921,40.49776404
164,-74.24233102,40.497554
165,-74.24526409,40.49876771
166,-74.24436655,40.4989488
167,-74.24348555,40.49913351
168,-74.24262091,40.49930861
169,-74.24522367,40.50146508
170,-74.24434559,40.50163056
171,-74.24347418,40.50179908
172,-74.24258833,40.5019784
173,-74.24520114,40.50411601
174,-74.2443293,40.50429132
175,-74.24345049,40.50446942
176,-74.24253727,40.50465166
177,-74.24520714,40.50683458
178,-74.24474358,40.50892146
179,-74.24463204,40.50792201
180,-74.24447875,40.5081293
181,-74.24431763,40.50701609
182,-74.24370919,40.50823158
183,-74.24340914,40.50719663
184,-74.24343581,40.5091805
185,-74.24315595,40.50835171
186,-74.24291982,40.50839452
187,-74.24279267,40.50930134
188,-74.24252054,40.50736977
189,-74.24254908,40.50849195
190,-74.24524839,40.50954318
191,-74.24531253,40.51179054
192,-74.24499003,40.50962132
193,-74.24374143,40.5099916
194,-74.24257254,40.5105114
195,-74.24241027,40.51059326
196,-74.24198164,40.51081585
197,-74.24451428,40.51436541
198,-74.24434299,40.51234717
199,-74.24377502,40.51267371
200,-74.24392043,40.51477567
201,-74.24255785,40.51339336
202,-74.24571315,40.51623401
203,-74.24457517,40.5154786
204,-74.24453098,40.51645867
205,-74.24399207,40.51591651
206,-74.24368258,40.51587066
207,-74.24427897,40.51661606
208,-74.24354735,40.51576979
209,-74.24429835,40.518515
210,-74.24263712,40.51824277
211,-74.24293235,40.52122716
